mode,trig,act,dev_trig,dev_act,installs,views,weight,n_rules,quota,spaces
trigger,sun,switch,SunProvider,Switch,12448,0,0.003434,18,9,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,time,switch,Clock,Switch,3673,0,0.003347,18,9,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,security,camera,Camera,Camera,4330,0,0.003318,17,9,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,motion,thermostat,MotionSensor,Thermostat,8447,0,0.003244,16,9,HOME05 HOME06 HOME16 HOME18 OFFICE06
trigger,threshold,light.on,TemperatureSensor,Light,7893,0,0.003226,17,7,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,finished,light.color,LaundryWasher,Light,2186,0,0.003081,17,7,HOME02 HOME06 HOME07 HOME12 HOME18
trigger,security,light.on,Camera,Light,5007,0,0.003056,16,7,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,arrive,media,PersonTracker,Television,239650,0,0.003042,15,9,HOME02 HOME03 HOME04 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME18
trigger,arrive,camera,PersonTracker,Camera,12040,0,0.003018,16,9,HOME06 HOME07 HOME08 HOME15 HOME16 HOME18 HOME19 OFFICE05 OFFICE06 LAB01 LAB04
trigger,sun,light.off,SunProvider,Light,3579,0,0.002890,16,6,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,time,thermostat,Clock,Thermostat,2885,0,0.002753,15,8,HOME02 HOME05 HOME06 HOME07 HOME11 HOME14 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE06
trigger,arrive,light.color,PersonTracker,Light,17245,0,0.002554,12,6,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,contact,lock,ContactSensor,DoorLock,2795,0,0.002533,13,8,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE03 OFFICE06 LAB02 LAB03 FARM04
trigger,arrive,plug,PersonTracker,Plug,5306,0,0.002533,13,8,HOME08 HOME11 HOME15 HOME19 LAB01 LAB04
trigger,button,plug,Button,Plug,3750,0,0.002424,13,6,HOME01 HOME08 HOME11 HOME15 HOME19 LAB01 LAB02 LAB03 LAB04 LAB05
trigger,leave,light.off,PersonTracker,Light,8864,0,0.002421,12,5,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,power,plug,PowerMeter,Plug,1364,0,0.002420,14,6,HOME01 HOME08 HOME11 HOME15 HOME19 LAB01 LAB02 LAB04 LAB05
trigger,time,plug,Clock,Plug,1880,0,0.002419,14,6,HOME01 HOME08 HOME11 HOME15 HOME17 HOME19 LAB01 LAB02 LAB03 LAB04 LAB05
trigger,doorbell,light.color,Doorbell,Light,18601,0,0.002312,11,5,HOME06 HOME10 HOME18
trigger,time,light.scene,Clock,Light,2712,0,0.002304,13,5,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,doorbell,camera,Doorbell,Camera,9557,0,0.002303,11,6,HOME06 HOME18
trigger,phone,media,PersonTracker,Television,16488,0,0.002220,11,6,HOME02 HOME03 HOME04 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME18
trigger,sun,notify,SunProvider,NotificationProvider,26965,0,0.002212,11,6,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,leave,thermostat,PersonTracker,Thermostat,3339,0,0.002188,12,6,HOME02 HOME05 HOME06 HOME07 HOME11 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE06
trigger,sun,plug,SunProvider,Plug,1176,0,0.002138,12,6,HOME01 HOME08 HOME11 HOME15 HOME17 HOME19 LAB01 LAB02 LAB03 LAB04 LAB05
trigger,time,query,Clock,,10693,0,0.002110,11,6,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,sun,light.scene,SunProvider,Light,4319,0,0.002085,11,5,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,leave,switch,PersonTracker,Switch,1867,0,0.002076,11,6,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,button,light.off,Button,Light,3108,0,0.002033,11,5,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FACT01 FACT02
