src,sid,score,trig,dev_trig,act,dev_act,acts,n_act,mobile,text_ok,text,note
ifttt_pop,ifttt_pop:CD7Whs4P,100,arrive,PersonTracker,camera,Camera,camera,1,1,0,,Location
ifttt_pop,ifttt_pop:UJcRMhDV,105,voice,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:pKcywAbH,78,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:weWAjQUn,4857,message,MessageSender,camera,Camera,camera,1,1,0,,Social networks
ifttt_pop,ifttt_pop:E9gUtLsd,3140,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Email
ifttt_pop,ifttt_pop:QVxTajbR,12,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Shopping
ifttt_pop,ifttt_pop:AFcdvVuh,55,,,camera,Camera,camera,1,1,0,,Photo & video
ifttt_pop,ifttt_pop:Aw2ENBQm,1947,weather,WeatherProvider,notify,NotificationProvider,notify,1,1,0,,Weather
ifttt_pop,ifttt_pop:acTVCUX5,3440,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:myQfL357,3149,voice,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:PKLZYXwf,26,,,notify,NotificationProvider,notify,1,1,0,,Health & fitness
ifttt_pop,ifttt_pop:vjA5BtRc,50,time,Clock,notify,NotificationProvider,notify,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:WXL985y4,453,,,notify,NotificationProvider,notify,1,1,0,,DIY electronics
ifttt_pop,ifttt_pop:WgNCkfwp,2527,time,Clock,query,,,0,1,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:gQTdtBc3,35,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:BbR9Pi3N,2174,message,MessageSender,camera,Camera,camera,1,1,0,,Photo & video
ifttt_pop,ifttt_pop:yk9whf6P,4540,,,notify,NotificationProvider,notify,1,1,0,,Communication
ifttt_pop,ifttt_pop:ymvTDkic,1249,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:Gp2uYkJB,26,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:iKNP9ASs,1701,sun,SunProvider,notify,NotificationProvider,notify,1,0,0,,Weather
ifttt_pop,ifttt_pop:d9tysXkm,14,voice,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:tTwvgm9N,35,voice,,camera,Camera,camera,1,0,0,,Voice assistants
ifttt_pop,ifttt_pop:n9tREGZ7,23,,,notify,NotificationProvider,notify,1,1,0,,News & information
ifttt_pop,ifttt_pop:Et5pFHD8,14,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Notifications
ifttt_pop,ifttt_pop:EvNfbHTk,702,motion,MotionSensor,notify,NotificationProvider,notify|camera,2,1,0,,Security & monitoring systems
ifttt_pop,ifttt_pop:u5cFQGrf,29,,,notify,NotificationProvider,notify,1,1,0,,Music
ifttt_pop,ifttt_pop:tTQyRDYk,20,,,notify,NotificationProvider,notify,1,0,0,,News & information
ifttt_pop,ifttt_pop:BMn7q6wu,41,time,Clock,notify,NotificationProvider,notify,1,0,0,,News & information
